A,B,weight
alfajores,coffee,4
bread,cake,3
bread,pastry,3
brownie,coffee,4
cake,coffee,4
cake,hot chocolate,3
cake,tea,4
coffee,cookies,4
coffee,hot chocolate,2
coffee,juice,2
coffee,medialuna,2
coffee,muffin,2
coffee,pastry,3
coffee,sandwich,2
coffee,scone,2
coffee,spanish brunch,2
coffee,tea,2
coffee,toast,2
sandwich,tea,2
